base_salary_max,base_salary_min,requirements,responsibilities,title,region,salary_mean
,12792.0,"Среднее профессиональное образование по одной из специальностей: ""Медико-профилактическое дело"", ""Лабораторная диагностика"". Профессиоанльная переподготовка по специальности ""Гигиена и санитария"" при наличии среднего профессионального образования","Оказывает помощь санитарному врачу в осуществление контроля за санитарным состоянием закрепленных объектов, проверять вентиляцию, санитарном состояние рабочих мест, питьевого режима, в разработке оздоровительных мероприятий",Первый помощник врач по гигиене детей и подростков,Ивановская область,
59003.0,49520.0,1. Высокая мотивация в работе и дисциплинированность.2. Коммуникабельность.3. Ответственность.4. Умение работать в команде,1. Организация работы рядовых сотрудников ресторана (от 10 до 30).2. Организовывать обслуживание гостей.3. Обеспечивать соблюдение технологических процессов производства4. Обеспечивать нормальное функционирование оборудования.5. Работать над увеличением продаж и прибыли ресторана.6. При работе соблюдать внутренние правила и стандарты ресторана,Администратор ресторана,Приморский край,54261.5
,40000.0,"Образование -не ниже среднего. Английский язык: разговорный.Опыт эксплуат.серверного оборуд. участия в проектах компетенции, составлен. ТЗ, с системами мониторинга, оптимизации использ.серверов,администрирования SCCM, Citrix","Обеспечение бесперебойной работы серверов компании и системного ПО Создание и поддержка максимально автоматиз.систем жизненного цикла офиса:предотвращение аварийных ситуаций, обеспечение оперативной реакции в случае сбоев в работе оборудования","Математик, системный программист",Московская область,
30000.0,30000.0,"Наличие квалификационного удостоверения 3,4,5,6 разряда. Коммуникабельность, трудолюбие и упорство, хорошая зрительная память, прекрасное зрение и хороший глазомер, ловкость и точная координация движений, отсутствие страха высоты, умение самостоятельно принимать решение, исполнительность, чистоплотность. Здоровый образ жизни",Выполнение работ средней сложности при монтаже оборудования предприятий химической и нефтяной промышленности и связанных с ним конструкций,Монтажник оборудования предприятий химической и нефтяной промышленности 3 разряда-6 разряда,Чеченская Республика,30000.0
0.0,40000.0,Образование средне-специальное/ высшее техническое.  Знание компьютера,1. Проведение поверки средств измерений (СИ).2. Оформление документов по результатам поверки.3. Знание нормативных документов по поверке СИ.4. Участие в подготовке к испытаниям СИ и документации по их результатам.5. Участие в работе по расширению области аккредитации предприятия и других сертификационных мероприятий.6. Ведение документации системы менеджмента качества предприятиям по поверке,Метролог-поверитель,Московская область,20000.0
40000.0,25000.0,"Работают согласно должностным инструкциям, разработанным на основе профессиональных стандартов (ПОСТАНОВЛЕНИЕ ПРАВИТЕЛЬСТВА РФ от 22 января 2013 г. № 23 «О ПРАВИЛАХ РАЗРАБОТКИ, УТВЕРЖДЕНИЯ И ПРИМЕНЕНИЯ ПРОФЕССИОНАЛЬНЫХ СТАНДАРТОВ»)","Работают согласно должностным инструкциям, разработанным на основе профессиональных стандартов (ПОСТАНОВЛЕНИЕ ПРАВИТЕЛЬСТВА РФ от 22 января 2013 г. № 23 «О ПРАВИЛАХ РАЗРАБОТКИ, УТВЕРЖДЕНИЯ И ПРИМЕНЕНИЯ ПРОФЕССИОНАЛЬНЫХ СТАНДАРТОВ»)","Помощник руководителя и специалиста начальник участка (в сельском, охотничьем, лесном и рыбном хозяйстве) 3 категории (класса)",Свердловская область,32500.0
50000.0,40000.0,Добросовестное исполнение возложенных обязанностей и поручений,"1. Монтаж и наладка систем автоматики и связи.2. Монтаж и наладка систем охранно-пожарной сигнализации.3. Монтаж и наладка систем дымоудаления.4. Монтаж и наладка систем пожаротушения.5. Монтаж и наладка системы контроля управления контроля доступа.6. Монтаж и наладка системы видеонаблюдения.7. Монтаж и наладка системы радиовещания.8. Программирование адресных извещателей системы ""Рубеж"" и ""Болид""",Монтажник оборудования связи,Краснодарский край,45000.0
40000.0,40000.0,"Высшее техническое образование, опыт работы инженером-конструктором 1 категории (механика) от 3-х лет, опытный пользователь ПК (Компас или T-Flex)","Согласование и разработка технического задания. Проведение технических расчетов по проектам, технико-экономический анализ эффективности проектируемых конструкций. Разработка КД в полном объеме для производства изделий, имеющих в своей конструкции механические, пневматические, гидравлические узлы, корпусные элементы",Ведущий инженер-конструктор,Пензенская область,40000.0
20000.0,20000.0,"- Знания в UX (анализ пользовательского опыта) и UI (разработка удобных и красивых интерфейсов) - Знание инструментов Figma/Sketch/Marvel/InVision – уметь работать с компонентами и создавать кликабельные прототипы, понимать специфику передачи в верстку - Знание основы композиции и типографики","- Проектирование интерфейса для внутренних и внешних B2B-продуктов компании - Развитие дизайн-системы, UI-кит - Контроль разработчиков и качество реализации интерфейсов",Инженер-системный программист высшей категории (класса),Красноярский край,20000.0
52000.0,50000.0,"Кладка стен из кирпича (внутренние и наружные стены)  Выполнение иных общестроительных работ.Возможность заключения договора подряда на выполнение работ для физических лиц, желающих стать плательщиком налога на профессиональный доход (самозанятый)Без медицинских противопоказаний","Выполнение работ по устройству каменной кладки из газобетонных блоков, из пазобребонных блоков. выполнение работ по устройству перегородок из кирпича.строительство многоэтажных домов",Каменщик 3 разряда-6 разряда,Москва,51000.0
20000.0,19408.0,"Ответственное отношение к работе, исполнительность, желание работать","Режет и измельчает сырье, полуфабрикаты, готовые изделия на резальных машинах различных конструкций и механизмах до установленного технологией размера, толщины, прямолинейного, криволинейного или фигурного контура. Загружает резальные машины вручную или с помощью транспортера, шнека и других транспортных устройств. Подает сырье, полуфабрикаты к машине, промывает, охлаждает или зачищує сырье",Оператор-нарезчик,Республика Хакасия,19704.0
19131.0,19131.0,"вежливость, активность, коммуникабельность, умение работать в команде, ответственность, целеустремлённость, пунктуальность, честность, трудолюбие и т.д","осуществление контроля над выполнением действующих нормативных документов по учету электроэнергии бытовыми потребителями, Монтаж однофазных приборов учета электроэнергии частного сектора, контроль над заменой существующих приборов учета электроэнергии. Выявление и предотвращение фактов хищения электроэнергии",Электромонтер по эксплуатации электросчетчиков 3 разряда,Астраханская область,19131.0
50000.0,50000.0,Обязательно опыт работы электромонтажником по кабельным сетям не менее 3-х лет,"Чтение чертежей ТП-РТП: 10-20/04кВ, РУ-0, 4-110кВ,чтение рабочей документации готовность к работе на строительной площадке Знание норм и правил при строительстве эл.сетей 0, 4-20кВ, ТП-РТП-20/10/0, 4кВ.Наличие опыта работ по выполнению СМР по силовым кабельным линиям 0, 4-20кВ, ТП-РТП-20/10/04кВ, РУ-0, 4-110кВ.Желание обучаться и повышать квалификацию, осваивать смежные профессии",Электромонтажник по кабельным сетям 3 разряда-4 разряда 3 категории (класса),Москва,50000.0
34697.0,25512.0,"ИСПОЛНЕНИЕ ОБЯЗАННОСТЕЙ КВАЛИФИЦИРОВАННОГО РАБОЧЕГО ПРОМЫШЛЕННОСТИ, СТРОИТЕЛЬСТВА, ТРАНСПОРТА И РАБОЧЕГО РОДСТВЕННЫХ ЗАНЯТИЙ В СООТВЕТСТВИИ С ДОЛЖНОСТНОЙ ИНСТРУКЦИЕЙ","Оказывает квалифицированную медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации, разрешенные для применения в медицинской практике. Определяет тактику ведения больного в соответствии с установленными правилами и стандартами",Врач здравпункта,Волгоградская область,30104.5
,20621.0,"ДОБРОСОВЕСТНОЕ ВЫПОЛНЕНИЕ СВОИХ ДОЛЖНОСТНЫХ ОБЯЗАННОСТЕЙ, ОТВЕТСТВЕННОСТЬ, ОТСУТСТВИЕ МЕДИЦИНСКИХ ПРОТИВОПОКАЗАНИЙ К РАБОТЕ НА ВЫСОТЕ","РУЧНАЯ ДУГОВАЯ И ПЛАЗМЕННАЯ СВАРКА СЛОЖНЫХ АППАРАТОВ, УЗЛОВ, КОНСТРУКЦИЙ И ТУРБОПРОВОДОВ ИЗ РАЗЛИЧНЫХ СТАЛЕЙ, ЦВЕТНЫХ МЕТАЛЛОВ И СПЛАВОВ. РУЧНАЯ ДУГОВАЯ И ГАЗОЭЛЕКТИРИЧЕКСАЯ СВАРКА СЛОЖНЫХ СТРОИТЕЛЬНЫХ И ТЕХНОЛОГИЧЕСКИХ КОНСТРУКЦИЙ, РАБОТАЮЩИХ ПОД ДИНАМИЧЕСКИМИ И ВИБРАЦИОННЫМИ НАГРУЗКАМИ, И КОНСТРУКЦИЙ СЛОЖНОЙ КОНФИГУРАЦИИ",Электрогазосварщик 6 разряда-7 разряда,Забайкальский край,
17000.0,17000.0,"Умение пользоваться поиском в Интернете  Начальные знания по сетям  Коммуникабельность, работоспособность, обучаемость","В должностные обязанности входит:  Поддержание работоспособности ПК, оргтехники и иных устройств в рабочем состоянии в Учреждении  Диагностирование поломок ПК и оргтехники  Работа с программным обеспечением (установка ОС, почтовых клиентов, прикладного программного обеспечения, антивирусных систем и т.д.) и другие поручения руководства. ",Инженер информационных технологий,Рязанская область,17000.0
14100.0,14100.0,"В бланке сведений о потребности в работниках в должностных обязанностях работника работодатель указал: грамотность, отличное знание русского языка, внимательность, аккуратность, опыт прохождения практики / помощи в школе, в библиотеке, опыт работы в редакции школьной газеты",В бланке сведений о потребности в работниках в должностных обязанностях работника работодатель указал: работа с входящей / исходящей корреспонденцией  контроль наличия почтовых марок,"Специалист, помощник руководителя и специалиста",Новосибирская область,14100.0
13950.0,13950.0,"Распространитель листовок по подьездам график, на усмотрение сотрудника оплата 50коп/листовка + 200 рублей за установку с рекламы возраст не ограничен район распространения (для начала ВИЗ) желательно сотрудника с возможностью отдачи в виде отчётов (фото ящиков с подписью подьезда и адреса) Ответственное отношение к выполнению должностных обязанностей",Функциональные обязанности определены на основе и в объеме квалификационной характеристики по должности,Распространитель печатной продукции,Свердловская область,13950.0
0.0,30000.0,"Доброжелательность, грамотная речь, коммуникабельность, стрессоустойчивостьРазговорный уровень владения английским языком","Прием, регистрация и размещение гостей работа с кассой (материально ответственное лицо) взаимодействие с другими службами отеля прием телефонных звонков бронирование номеров заказ такси, авиа и железнодорожных билетов, бронирование столиков в ресторанах и др. решение конфликтных ситуаций выполнение различных просьб и пожеланий гостей",Администратор ресепшн,Иркутская область,15000.0
0.0,0.0,"  Требование: Позитивный на строй, коммуникабельность, приятная внешность, уверенность в себе, активность, умение убеждать людей.  Условия:   Оформление в соответствии с ТК РФ или договору  График работы 5/2, 2/2 с 9.00 до 20.00 (совмещение, подработка)  Своевременные выплаты + премии  Дружная команда, работа в современном офисе ","Обязанности:   размещение клиентов и гостей компании,  работа с первичной документацией  прием входящих телефонных звонков",Коммуникабельный консультант на ресепшен,Самарская область,0.0
0.0,30000.0,": активность, выполнение работы в сроки, предоставление отчетности о выполненной работы руководству, ПК-пользователь",": Работа с деловой документацией, работа на телефоне: прием/регистрация звонков, консультирование клиентов: активность, выполнение работы в сроки, предоставление отчетности о выполненной работы руководству, ПК-пользователь: активность, выполнение работы в сроки, предоставление отчетности о выполненной работы руководству, ПК-пользователь",Сотрудник с опытом администратора в офис,Самарская область,15000.0
,20000.0,"ПОМОЩНИК НАЧАЛЬНИКА ОТРЯДА (ПО МТО)- НАЧАЛЬНИК ОТДЕЛЕНИЯ, З/П 20000 РУБ., 40 ЧАСОВАЯ РАБОЧАЯ НЕДЕЛЯ, РАБОТАТЬ С 09.00 ДО 18.00, ВЫСШЕЕ ТЕХНИЧ. ОБРАЗОВАНИЕ, ОПЫТ РАБОТЫ В СФЕРЕ МТО НЕ МЕНЕЕ 5 ЛЕТ, ОПЫТ РАБОТЫ В СФЕРЕ ЗАКУПОК ПО ФЗ-44, СОГЛАСНО ПРИЛОЖЕНИЯ № 1 К ИНСТРУКЦИИ О ПОРЯДКЕ ОТБОРА ГРАЖДАН НА СЛУЖБУ В ФЕДЕРАЛЬНУЮ ПРОТИВОПОЖАРНУЮ СЛУЖБУ (ПРИКАЗ МЧС РОССИИ ОТ 11.11.2009Г. №626 О ПОРЯДКЕ ОТБОРА ГРАЖДАН НА СЛУЖБУ В ФЕДЕРАЛЬНУЮ ПРОТИВОПОЖАРНУЮ СЛУЖБУ",,Начальник отдела (материально-технического снабжения),Саратовская область,
20000.0,20000.0,"Опыт работы с документами, отслужившие в вооружённых силах РФ","Выполняет работу по обеспечению необходимых условий для сохранения государственной тайны, участвует в разработке мероприятий, направленных на обеспечение секретности работ и сохранности документов, в проведении профилактических мер по предотвращению утрат документов и разглашению секретных сведений. Разрабатывает методические документы (инструкции, рекомендации, информационные письма и др.)",Помощник руководителя и специалиста начальник отделения (функционального в прочих областях деятельности),Москва,20000.0
,28200.0,"Справка об отсутствии судимости, санитарная книжка, допуск к работе","Выполняет работу по обеспечению механизированной и автоматизированной обработки поступающей в вычислительный (информационно-вычислительный) центр (ВЦ, ИВЦ) информации, разработки технологии решения экономических и других задач производственного и научно-исследовательского характера. Принимает участие в проектировании систем обработки данных и систем математического обеспечения машины",Техник-программист 1 категории (класса),Республика Саха (Якутия),
19500.0,19000.0,"Приветствуется наличие группы по электробезопасности, чтение электросхем, знание контролеров управления ""Овен"", ""Дельта""","Обслуживание и профилактика оборудования котельных коммунально-бытовых объектов, проверка работы по обслуживанию частных домовладений, составление и проверка плана обслуживания частных домовладений, проведение разъяснительной работы с абонентами, контроль качества выполнения работ слесарями КИПиА с выездом на место проведения работ",Инженер по контрольно-измерительным приборам и автоматике,Краснодарский край,19250.0
28000.0,28000.0,"В практической деятельности работник должен руководствоваться: локальными актами и организационно-распорядительными документами Компании  правилами внутреннего трудового распорядка  правилами охраны труда и техники безопасности, обеспечения производственной санитарии и противопожарной защиты",- монтаж конструкций под приборы и исполнительные механизмы.- технический осмотр.- монтаж устройств и приборов- опробование смонтированных приборов и аппаратуры,"Монтажник приборов и аппаратуры автоматического контроля, регулирования и управления",Томская область,28000.0
25000.0,25000.0,выполнение обязанностей согласно внутренней должностной инструкции предприятия,"Изготовление форм для отливок на формовочных машинах подготовка к набивке и набивка форм для сложных и тонкостенных отливок, а также для крупных отливок простых и средней сложности отделка и сборка форм для отливок средней сложности.Установка стержней с проверкой при помощи нескольких простых шаблонов.Изготовление простых форм и форм средней сложности при помощи пескомета",Формовщик машинной формовки,Свердловская область,25000.0
27000.0,25000.0,"Наличие специального образования, медицинской книжки,ответственность, коммуникабельность,грамотная устная речь, способность к быстрому устному счету,навыки общения с клиентами,соблюдение должностной инструкции, правил ТБ, ПТБ","Обслуживание клиентов,прием оплаты за топливо и сопутствующие товары,прием нефтепродуктов на АЗК,заполнение первичных документов строгой отчетности, производит выкладку товара,знакомиться с ассортиментом товаров и ценами на них",Старший кассир торгового зала,Пензенская область,26000.0
26348.0,20267.0,"Электромонтер по ремонту и обслуживанию электрооборудования 6 разряда. Ср/общ/о и проф. Образов. Подготовка в области ремонта воздушных линий электропередачи. Группа по электробезопасности не ниже 4, опыт работы не менее 1 года. Работа на высоте, обслуживание сетей наружного освещения","Обеспечивать исправное состояние, безаварийную и надежную работу обслуживаемых устройств и оборудования, правильную их эксплуатацию, своевременный качественный ремонт",Электромонтер по ремонту и обслуживанию электрооборудования 6 разряда,Саратовская область,23307.5
,49000.0,Квалификационные документы по специальности. Добросовестное исполнение должностных обязанностей и распоряжений руководства,"Бетонирование сложных железобетонных монолитных конструкций, заливку бетонной смеси за облицовку и в штрабы с закладными частями, изготовление на полигонах строительных площадок напряженно-армированных железобетонных изделий (пролетных строений мостов и путепроводов, длинномерных свай и опор ферм и балок больших пролетов и др.)",Бетонщик 5 разряда-6 разряда,Красноярский край,
55000.0,40000.0,"Мастер мебельного производства. Знание технологического процесса изготовления мебельных изделий. Знание оборудования и станков. Навыки работы с рабочими, организация труда. Владение различными инструментами. Знание всех видов материалов мебельных изделий. Опыт работы от 2 лет",Выполнение плановых показателей. Соблюдение сроков исполнения заказов. Дисциплина и безопасность труда. Технологические нормы производства мебельных изделий. Работа с рабочими,Мастер мебельного производства,Чеченская Республика,47500.0
20000.0,20000.0,"Опыт строительства гидротехнических сооружений(курортного комплекса). Профессиональная пригодность. Необходимо знать правила внутреннего трудового распорядка  правила и нормы охраны труда, техники безопасности и противопожарной защиты","Наладка объектов электроснабжения напряжением до 1 кВ промышленного и гражданского строительства, а также электроприводов переменного тока напряжением до 1 кВ с простыми схемами управления. Опыт работы в строительстве",Электромонтажник-наладчик 6 разряда,Приморский край,20000.0
0.0,40000.0,"Высшее техническое образование.  Обучаемость  пунктуальность  желание работать и зарабатывать.   Просьба, предварительно выслать резюме на указанный адрес электронной почты","Составление управляющих программ для станков с ЧПУ (револьверно-пробивной пресс Power,Amada, лазерный раскройный комплекс Навигатор КС -2) в специализированном программном обеспечении cncKad.  Сопровождение технологических процессов на производстве.  Составление сменных заданий",инженер-программист станков с ЧПУ,Костромская область,20000.0
29100.0,13950.0,"Сертификат по стоматологии. Наличие опыта работы приветствуется, отсутствие вредных привычек. Скользящий график. Выполнение должностных обязанностей согласно должностной инструкции","Своевременно и качественно выполняет профилактические и лечебно-диагоностические процедуры, назначенные врачом, ассистирует при проведении врачом лечебно-диагностических манипуляций и малых операций, оказывает неотложную доврачебную помощь при острых заболеваниях и т.д",Медицинская сестра стоматологического кабинета,Омская область,21525.0
45000.0,40000.0,"Требования:Умение читать схемы, опыт сварочных и монтажных работ. Ответственность, внимательность, пунктуальность.Условия:Желание работать и зарабатывать. Для сварщика- наличие НАКС (приветствуется). График работы: 5/2.Полный рабочий деньНа территории работодателя","Должностные обязанности:В ООО ""МР ГРУПП"" требуются сварщики- монтажники стальных и жб конструкций. Сварочные работы, монтаж и демонтаж металлических конструкций на строительной площадке",Сварщик-монтажник,Кемеровская область,42500.0
0.0,40000.0,- Письменная и устная грамотность!  - Опыт работы в EXCEL  - Опыт ведения документооборота,"- Ведение делопроизводства  - Организация жизнедеятельности офиса (офис - 10 человек)  - Ведение таблиц учета и расчета в Excel  - Ведение документооборота как в электронном так и бумажном виде  - Составление писем, приказов, служебных записок, договоров, сопутствующий приказам докмуентов и пр.  - Ответы на телефонные звонки, первичная консультация клиента",Офис-менеджер (на личном а/м),Санкт-Петербург,20000.0
20000.0,20000.0,Наличие удостоверения электромонтажника. Опыт работ. Добросовестное выполнение своих должностных обязанностей,"Монтаж и пайка наконечников проводников.Окраска проводников в установленные цвета.Сборка и установка осветительных щитков до восьми группсоединительных муфт, тройников и коробок.Сборка проводов простых схем.Заготовка панели, установка коммуникационной аппаратуры имонтаж станции питания.Прокладка световых, силовых и сигнализационных сетей",Слесарь-электромонтажник,Тюменская область,20000.0
,15000.0,"Ответственность, дисциплинированность, пунктуальность, коммуникабельность, обучаемость, инициативность, целеустремленность, умение работать в команде, внимательность, вежливость, тактичность и т.д","Своевременная подача автомобиля к месту назначения. Следить за состоянием автомобиля, регулярно и своевременно проходит техосмотр и техобслуживание. Следить за сохранностью автомобиля, использует сигнализацию и другие средства обеспечения безопасности",Водитель автомобиля 1 категории (класса),Самарская область,
,59000.0,"Опыт работы от 3 лет на предпряпиях судостроения- судоремонта, КБ проектантов кораблей( судов).Знать: законодательные и нормативные акты, порядок разработки перспективных и годовых планов хоз.- финансовой и производственной деятельности предприятия. Законодательство в области ГОЗ. Контроль сроков выполнения договорных обязательств, ведение реестра договоров, формирование отчетности",Ведущий экономист по договорной работе в производственной сфере,Экономист(ведущий),Санкт-Петербург,
25000.0,20000.0,"Справка от нарколога. Обучаемость, опыт работы приветствуется, желание работать","Установка и заделка деталей крепления. Установка скоб, крючков, конструкций для магнитных пускателей. Снятие верхнего джутового покрова кабеля вручную. Изготовление мелких деталей крепления и прокладок, не требующих точных размеров. Забивка вручную электродов заземления. Окраска кабелей и шин заземления. Пробивка гнезд, отверстий и борозд по готовой разметке вручную",Ученик электромонтажник по освещению и осветительным сетям,Калужская область,22500.0
20000.0,20000.0,"Среднее, среднее профессиональное образование, опыт работы. Программы профессионального обучения - программы профессиональной подготовки рабочих по профессии лаборанта химического анализа, программы переподготовки по профессии лаборанта химического анализа","Качественно и своевременно выполнять возложенные на него функции в соответствии с требованиями действующего законодательства, нормативных актов, положений, инструкций и приказов администрации",Лаборант химического анализа 3 разряда,Астраханская область,20000.0
19000.0,19000.0,"среднее профессиональное или высшее образование, умение работать в программе 1:С, отличные знания работы в офисных приложениях ПК, грамотность,ответственность","Сопровождение деятельности отдела в части делопроизводства, оказание помощи специалистам отдела в подготовке проектов документов, работа в программах по учету госслужащих, подготовка и отправка форм статистической отчетности и другие обязанности в соответствии с должностной инструкцией","Делопроизводитель отдела правовой работы, государственной службы и кадров",Красноярский край,19000.0
40000.0,40000.0,"Высшее медицинское образование, углубленная подготовка, сертификат по специальности ""Неврология""","Оказывает работникам постоянную, экстренную и неотложную первую медицинскую помощь по своей специальности, используя современные методы профилактики, диагностики, лечения и реабилитации. Планирует и анализирует свою работу. Организует и самостоятельно проводит специальные диагностические исследования на предприятии и интерпретирует их результаты",Врач-методист,Красноярский край,40000.0
48700.0,45000.0,"Знание 1С:8 ЗУП, знание офисных программ,ответственность, внимательность, готовность работать с большим объемом информации, усидчивость, вежливость","Произведение всех видов начислений,Проверка полноты и корректности отражения данных по счетам бух. учета,Проверка корректности расчета налогов и взносов с ФОТ,Формирование и предоставление отчетности в ИФНС и ФСС,Проведение сверок с ИФНС и ФСС,Формирование и выдача всех видов справок сотрудникам",бухгалтер по расчету заработной платы,Приморский край,46850.0
0.0,0.0,"образование: средне-специальное техническое, высшее техническое  свободное владение ПК, знание автоматических систем проектирования (AutoCad, So dWorks или Компас)  умение читать чертежи, техническая грамотность  желание совершенствоваться в профессии и получать новые знания, внимательность","Разработка управляющих программ для оборудования с ЧПУ(токарные,фрезерные станки), используя 3D-модели, конструкторскую и технологическую документацию ",Программист-технолог на станки с ЧПУ,Тверская область,0.0
30000.0,30000.0,"прием оплаты на кассе, прием бензовозов с топливом, готовить кофе. Место работы по городу на конечных остановках общественного транспорта:ул.Пушкина,ул. Жукова, Ул.Авроры, ул. Трамвайная-АЗС КПД. График работы-сутки через двое. Трасса М-5 д.Жилино, 12 часовой график работы.Знание ПК, программы АСУ ""Звезда"" или ""Топаз""",Заправлять автомобили Клиентов. Обслуживать в соответствии с «Правилами работы с клиентами» всех заезжающих на АЗС Клиентов,Сушильщик (заправщик),Чеченская Республика,30000.0
